date,season,regular_season,playoff,superbowl,Opponent,Packers Win,packers_score,opponent_score,location
1953-09-27,1953,1,0,,Cleveland Browns,LOSS,0,27,HOME
1953-10-04,1953,1,0,,Chicago Bears,LOSS,13,17,HOME
1953-10-11,1953,1,0,,Los Angeles Rams,LOSS,20,38,HOME
1953-10-18,1953,1,0,,Indianapolis Colts,WIN,37,14,HOME
1953-10-24,1953,1,0,,Pittsburgh Steelers,LOSS,14,31,AWAY
1953-10-31,1953,1,0,,Indianapolis Colts,WIN,35,24,AWAY
1953-11-08,1953,1,0,,Chicago Bears,TIE,21,21,AWAY
1953-11-15,1953,1,0,,Detroit Lions,LOSS,7,14,HOME
1953-11-22,1953,1,0,,San Francisco 49ers,LOSS,7,37,HOME
1953-11-26,1953,1,0,,Detroit Lions,LOSS,15,34,AWAY
1953-12-06,1953,1,0,,San Francisco 49ers,LOSS,14,48,AWAY
1953-12-12,1953,1,0,,Los Angeles Rams,LOSS,17,33,AWAY
1954-09-26,1954,1,0,,Pittsburgh Steelers,LOSS,20,21,HOME
1954-10-03,1954,1,0,,Chicago Bears,LOSS,3,10,HOME
1954-10-10,1954,1,0,,San Francisco 49ers,LOSS,17,23,HOME
1954-10-17,1954,1,0,,Los Angeles Rams,WIN,35,17,HOME
1954-10-24,1954,1,0,,Indianapolis Colts,WIN,7,6,AWAY
1954-10-30,1954,1,0,,Philadelphia Eagles,WIN,37,14,AWAY
1954-11-07,1954,1,0,,Chicago Bears,LOSS,23,28,AWAY
1954-11-13,1954,1,0,,Indianapolis Colts,WIN,24,13,HOME
1954-11-21,1954,1,0,,Detroit Lions,LOSS,17,21,HOME
1954-11-25,1954,1,0,,Detroit Lions,LOSS,24,28,AWAY
1954-12-05,1954,1,0,,San Francisco 49ers,LOSS,0,35,AWAY
1954-12-12,1954,1,0,,Los Angeles Rams,LOSS,27,35,AWAY
1955-09-25,1955,1,0,,Detroit Lions,WIN,20,17,HOME
1955-10-02,1955,1,0,,Chicago Bears,WIN,24,3,HOME
1955-10-08,1955,1,0,,Indianapolis Colts,LOSS,20,24,HOME
1955-10-16,1955,1,0,,Los Angeles Rams,WIN,30,28,HOME
1955-10-23,1955,1,0,,Cleveland Browns,LOSS,10,41,AWAY
1955-10-29,1955,1,0,,Indianapolis Colts,LOSS,10,14,AWAY
1955-11-06,1955,1,0,,Chicago Bears,LOSS,31,52,AWAY
1955-11-13,1955,1,0,,Arizona Cardinals,WIN,31,14,HOME
1955-11-20,1955,1,0,,San Francisco 49ers,WIN,27,21,HOME
1955-11-24,1955,1,0,,Detroit Lions,LOSS,10,24,AWAY
1955-12-04,1955,1,0,,San Francisco 49ers,WIN,28,7,AWAY
1955-12-11,1955,1,0,,Los Angeles Rams,LOSS,17,31,AWAY
1956-09-30,1956,1,0,,Detroit Lions,LOSS,16,20,HOME
1956-10-07,1956,1,0,,Chicago Bears,LOSS,21,37,HOME
1956-10-14,1956,1,0,,Indianapolis Colts,WIN,38,33,HOME
1956-10-21,1956,1,0,,Los Angeles Rams,WIN,42,17,HOME
1956-10-28,1956,1,0,,Indianapolis Colts,LOSS,21,28,AWAY
1956-11-04,1956,1,0,,Cleveland Browns,LOSS,7,24,HOME
1956-11-11,1956,1,0,,Chicago Bears,LOSS,14,38,AWAY
1956-11-18,1956,1,0,,San Francisco 49ers,LOSS,16,17,HOME
1956-11-22,1956,1,0,,Detroit Lions,WIN,24,20,AWAY
1956-12-02,1956,1,0,,Arizona Cardinals,WIN,24,21,AWAY
1956-12-08,1956,1,0,,San Francisco 49ers,LOSS,20,38,AWAY
1956-12-16,1956,1,0,,Los Angeles Rams,LOSS,21,49,AWAY
1957-09-29,1957,1,0,,Chicago Bears,WIN,21,17,HOME
1957-10-06,1957,1,0,,Detroit Lions,LOSS,14,24,HOME
1957-10-13,1957,1,0,,Indianapolis Colts,LOSS,17,45,HOME
1957-10-20,1957,1,0,,San Francisco 49ers,LOSS,14,24,HOME
1957-10-27,1957,1,0,,Indianapolis Colts,WIN,24,21,AWAY
1957-11-03,1957,1,0,,New York Giants,LOSS,17,31,HOME
1957-11-10,1957,1,0,,Chicago Bears,LOSS,14,21,AWAY
1957-11-17,1957,1,0,,Los Angeles Rams,LOSS,27,31,HOME
1957-11-24,1957,1,0,,Pittsburgh Steelers,WIN,27,10,AWAY
1957-11-28,1957,1,0,,Detroit Lions,LOSS,6,18,AWAY
1957-12-08,1957,1,0,,Los Angeles Rams,LOSS,17,42,AWAY
1957-12-15,1957,1,0,,San Francisco 49ers,LOSS,20,27,AWAY
1958-09-28,1958,1,0,,Chicago Bears,LOSS,20,34,HOME
1958-10-05,1958,1,0,,Detroit Lions,TIE,13,13,HOME
1958-10-12,1958,1,0,,Indianapolis Colts,LOSS,17,24,HOME
1958-10-19,1958,1,0,,Washington Commanders,LOSS,21,37,AWAY
1958-10-26,1958,1,0,,Philadelphia Eagles,WIN,38,35,HOME
1958-11-02,1958,1,0,,Indianapolis Colts,LOSS,0,56,AWAY
1958-11-09,1958,1,0,,Chicago Bears,LOSS,10,24,AWAY
1958-11-16,1958,1,0,,Los Angeles Rams,LOSS,7,20,HOME
1958-11-23,1958,1,0,,San Francisco 49ers,LOSS,12,33,HOME
1958-11-27,1958,1,0,,Detroit Lions,LOSS,14,24,AWAY
1958-12-07,1958,1,0,,San Francisco 49ers,LOSS,21,48,AWAY
1958-12-14,1958,1,0,,Los Angeles Rams,LOSS,20,34,AWAY
1959-09-27,1959,1,0,,Chicago Bears,WIN,9,6,HOME
1959-10-04,1959,1,0,,Detroit Lions,WIN,28,10,HOME
1959-10-11,1959,1,0,,San Francisco 49ers,WIN,21,20,HOME
1959-10-18,1959,1,0,,Los Angeles Rams,LOSS,6,45,HOME
1959-10-25,1959,1,0,,Indianapolis Colts,LOSS,21,38,AWAY
1959-11-01,1959,1,0,,New York Giants,LOSS,3,20,AWAY
1959-11-08,1959,1,0,,Chicago Bears,LOSS,17,28,AWAY
1959-11-15,1959,1,0,,Indianapolis Colts,LOSS,24,28,HOME
1959-11-22,1959,1,0,,Washington Commanders,WIN,21,0,HOME
1959-11-26,1959,1,0,,Detroit Lions,WIN,24,17,AWAY
1959-12-06,1959,1,0,,Los Angeles Rams,WIN,38,20,AWAY
1959-12-13,1959,1,0,,San Francisco 49ers,WIN,36,14,AWAY
1960-09-25,1960,1,0,,Chicago Bears,LOSS,14,17,HOME
1960-10-02,1960,1,0,,Detroit Lions,WIN,28,9,HOME
1960-10-09,1960,1,0,,Indianapolis Colts,WIN,35,21,HOME
1960-10-23,1960,1,0,,San Francisco 49ers,WIN,41,14,HOME
1960-10-30,1960,1,0,,Pittsburgh Steelers,WIN,19,13,AWAY
1960-11-06,1960,1,0,,Indianapolis Colts,LOSS,24,38,AWAY
1960-11-13,1960,1,0,,Dallas Cowboys,WIN,41,7,HOME
1960-11-20,1960,1,0,,Los Angeles Rams,LOSS,31,33,HOME
1960-11-24,1960,1,0,,Detroit Lions,LOSS,10,23,AWAY
1960-12-04,1960,1,0,,Chicago Bears,WIN,41,13,AWAY
1960-12-10,1960,1,0,,San Francisco 49ers,WIN,13,0,AWAY
1960-12-17,1960,1,0,,Los Angeles Rams,WIN,35,21,AWAY
1960-12-26,1960,0,1,,Philadelphia Eagles,LOSS,13,17,AWAY
1961-09-17,1961,1,0,,Detroit Lions,LOSS,13,17,HOME
1961-09-24,1961,1,0,,San Francisco 49ers,WIN,30,10,HOME
1961-10-01,1961,1,0,,Chicago Bears,WIN,24,0,HOME
1961-10-08,1961,1,0,,Indianapolis Colts,WIN,45,7,HOME
1961-10-15,1961,1,0,,Cleveland Browns,WIN,49,17,AWAY
1961-10-22,1961,1,0,,Minnesota Vikings,WIN,33,7,AWAY
1961-10-29,1961,1,0,,Minnesota Vikings,WIN,28,10,HOME
1961-11-05,1961,1,0,,Indianapolis Colts,LOSS,21,45,AWAY
1961-11-12,1961,1,0,,Chicago Bears,WIN,31,28,AWAY
1961-11-19,1961,1,0,,Los Angeles Rams,WIN,35,17,HOME
1961-11-23,1961,1,0,,Detroit Lions,WIN,17,9,AWAY
1961-12-03,1961,1,0,,New York Giants,WIN,20,17,HOME
1961-12-10,1961,1,0,,San Francisco 49ers,LOSS,21,22,AWAY
1961-12-17,1961,1,0,,Los Angeles Rams,WIN,24,17,AWAY
1961-12-31,1961,0,1,,New York Giants,WIN,37,0,HOME
1962-09-16,1962,1,0,,Minnesota Vikings,WIN,34,7,HOME
1962-09-23,1962,1,0,,Arizona Cardinals,WIN,17,0,HOME
1962-09-30,1962,1,0,,Chicago Bears,WIN,49,0,HOME
1962-10-07,1962,1,0,,Detroit Lions,WIN,9,7,HOME
1962-10-14,1962,1,0,,Minnesota Vikings,WIN,48,21,AWAY
1962-10-21,1962,1,0,,San Francisco 49ers,WIN,31,13,HOME
1962-10-28,1962,1,0,,Indianapolis Colts,WIN,17,6,AWAY
1962-11-04,1962,1,0,,Chicago Bears,WIN,38,7,AWAY
1962-11-11,1962,1,0,,Philadelphia Eagles,WIN,49,0,AWAY
1962-11-18,1962,1,0,,Indianapolis Colts,WIN,17,13,HOME
1962-11-22,1962,1,0,,Detroit Lions,LOSS,14,26,AWAY
1962-12-02,1962,1,0,,Los Angeles Rams,WIN,41,10,HOME
1962-12-09,1962,1,0,,San Francisco 49ers,WIN,31,21,AWAY
1962-12-16,1962,1,0,,Los Angeles Rams,WIN,20,17,AWAY
1962-12-30,1962,0,1,,New York Giants,WIN,16,7,AWAY
1963-09-15,1963,1,0,,Chicago Bears,LOSS,3,10,HOME
1963-09-22,1963,1,0,,Detroit Lions,WIN,31,10,HOME
1963-09-29,1963,1,0,,Indianapolis Colts,WIN,31,20,HOME
1963-10-06,1963,1,0,,Los Angeles Rams,WIN,42,10,HOME
1963-10-13,1963,1,0,,Minnesota Vikings,WIN,37,28,AWAY
1963-10-20,1963,1,0,,Arizona Cardinals,WIN,30,7,AWAY
1963-10-27,1963,1,0,,Indianapolis Colts,WIN,34,20,AWAY
1963-11-03,1963,1,0,,Pittsburgh Steelers,WIN,33,14,HOME
1963-11-10,1963,1,0,,Minnesota Vikings,WIN,28,7,HOME
1963-11-17,1963,1,0,,Chicago Bears,LOSS,7,26,AWAY
1963-11-24,1963,1,0,,San Francisco 49ers,WIN,28,10,HOME
1963-11-28,1963,1,0,,Detroit Lions,TIE,13,13,AWAY
1963-12-07,1963,1,0,,Los Angeles Rams,WIN,31,14,AWAY
1963-12-14,1963,1,0,,San Francisco 49ers,WIN,21,17,AWAY
1964-09-13,1964,1,0,,Chicago Bears,WIN,23,12,HOME
1964-09-20,1964,1,0,,Indianapolis Colts,LOSS,20,21,HOME
1964-09-28,1964,1,0,,Detroit Lions,WIN,14,10,AWAY
1964-10-04,1964,1,0,,Minnesota Vikings,LOSS,23,24,HOME
1964-10-11,1964,1,0,,San Francisco 49ers,WIN,24,14,HOME
1964-10-18,1964,1,0,,Indianapolis Colts,LOSS,21,24,AWAY
1964-10-25,1964,1,0,,Los Angeles Rams,LOSS,17,27,HOME
1964-11-01,1964,1,0,,Minnesota Vikings,WIN,42,13,AWAY
1964-11-08,1964,1,0,,Detroit Lions,WIN,30,7,HOME
1964-11-15,1964,1,0,,San Francisco 49ers,LOSS,14,24,AWAY
1964-11-22,1964,1,0,,Cleveland Browns,WIN,28,21,HOME
1964-11-29,1964,1,0,,Dallas Cowboys,WIN,45,21,AWAY
1964-12-05,1964,1,0,,Chicago Bears,WIN,17,3,AWAY
1964-12-13,1964,1,0,,Los Angeles Rams,TIE,24,24,AWAY
1965-09-19,1965,1,0,,Pittsburgh Steelers,WIN,41,9,AWAY
1965-09-26,1965,1,0,,Indianapolis Colts,WIN,20,17,HOME
1965-10-03,1965,1,0,,Chicago Bears,WIN,23,14,HOME
1965-10-10,1965,1,0,,San Francisco 49ers,WIN,27,10,HOME
1965-10-17,1965,1,0,,Detroit Lions,WIN,31,21,AWAY
1965-10-24,1965,1,0,,Dallas Cowboys,WIN,13,3,HOME
1965-10-31,1965,1,0,,Chicago Bears,LOSS,10,31,AWAY
1965-11-07,1965,1,0,,Detroit Lions,LOSS,7,12,HOME
1965-11-14,1965,1,0,,Los Angeles Rams,WIN,6,3,HOME
1965-11-21,1965,1,0,,Minnesota Vikings,WIN,38,13,AWAY
1965-11-28,1965,1,0,,Los Angeles Rams,LOSS,10,21,AWAY
1965-12-05,1965,1,0,,Minnesota Vikings,WIN,24,19,HOME
1965-12-12,1965,1,0,,Indianapolis Colts,WIN,42,27,AWAY
1965-12-19,1965,1,0,,San Francisco 49ers,TIE,24,24,AWAY
1965-12-26,1965,0,1,,Indianapolis Colts,WIN,13,10,HOME
1966-01-02,1965,0,1,,Cleveland Browns,WIN,23,12,HOME
1966-09-10,1966,1,0,,Indianapolis Colts,WIN,24,3,HOME
1966-09-18,1966,1,0,,Cleveland Browns,WIN,21,20,AWAY
1966-09-25,1966,1,0,,Los Angeles Rams,WIN,24,13,HOME
1966-10-02,1966,1,0,,Detroit Lions,WIN,23,14,HOME
1966-10-09,1966,1,0,,San Francisco 49ers,LOSS,20,21,AWAY
1966-10-16,1966,1,0,,Chicago Bears,WIN,17,0,AWAY
1966-10-23,1966,1,0,,Atlanta Falcons,WIN,56,3,HOME
1966-10-30,1966,1,0,,Detroit Lions,WIN,31,7,AWAY
1966-11-06,1966,1,0,,Minnesota Vikings,LOSS,17,20,HOME
1966-11-20,1966,1,0,,Chicago Bears,WIN,13,6,HOME
1966-11-27,1966,1,0,,Minnesota Vikings,WIN,28,16,AWAY
1966-12-04,1966,1,0,,San Francisco 49ers,WIN,20,7,HOME
1966-12-10,1966,1,0,,Indianapolis Colts,WIN,14,10,AWAY
1966-12-18,1966,1,0,,Los Angeles Rams,WIN,27,23,AWAY
1967-01-01,1966,0,1,,Dallas Cowboys,WIN,34,27,AWAY
1967-01-15,1966,0,1,i,Kansas City Chiefs,WIN,35,10,NEUTRAL
1967-09-17,1967,1,0,,Detroit Lions,TIE,17,17,HOME
1967-09-24,1967,1,0,,Chicago Bears,WIN,13,10,HOME
1967-10-01,1967,1,0,,Atlanta Falcons,WIN,23,0,HOME
1967-10-08,1967,1,0,,Detroit Lions,WIN,27,17,AWAY
1967-10-15,1967,1,0,,Minnesota Vikings,LOSS,7,10,HOME
1967-10-22,1967,1,0,,New York Giants,WIN,48,21,AWAY
1967-10-30,1967,1,0,,Arizona Cardinals,WIN,31,23,AWAY
1967-11-05,1967,1,0,,Indianapolis Colts,LOSS,10,13,AWAY
1967-11-12,1967,1,0,,Cleveland Browns,WIN,55,7,HOME
1967-11-19,1967,1,0,,San Francisco 49ers,WIN,13,0,HOME
1967-11-26,1967,1,0,,Chicago Bears,WIN,17,13,AWAY
1967-12-03,1967,1,0,,Minnesota Vikings,WIN,30,27,AWAY
1967-12-09,1967,1,0,,Los Angeles Rams,LOSS,24,27,AWAY
1967-12-17,1967,1,0,,Pittsburgh Steelers,LOSS,17,24,HOME
1967-12-23,1967,0,1,,Los Angeles Rams,WIN,28,7,HOME
1967-12-31,1967,0,1,,Dallas Cowboys,WIN,21,17,HOME
1968-01-14,1967,0,1,ii,Oakland Raiders,WIN,33,14,NEUTRAL
1968-09-15,1968,1,0,,Philadelphia Eagles,WIN,30,13,HOME
1968-09-22,1968,1,0,,Minnesota Vikings,LOSS,13,26,HOME
1968-09-29,1968,1,0,,Detroit Lions,LOSS,17,23,HOME
1968-10-06,1968,1,0,,Atlanta Falcons,WIN,38,7,AWAY
1968-10-13,1968,1,0,,Los Angeles Rams,LOSS,14,16,HOME
1968-10-20,1968,1,0,,Detroit Lions,TIE,14,14,AWAY
1968-10-28,1968,1,0,,Dallas Cowboys,WIN,28,17,AWAY
1968-11-03,1968,1,0,,Chicago Bears,LOSS,10,13,HOME
1968-11-10,1968,1,0,,Minnesota Vikings,LOSS,10,14,AWAY
1968-11-17,1968,1,0,,New Orleans Saints,WIN,29,7,HOME
1968-11-24,1968,1,0,,Washington Commanders,WIN,27,7,AWAY
1968-12-01,1968,1,0,,San Francisco 49ers,LOSS,20,27,AWAY
1968-12-07,1968,1,0,,Indianapolis Colts,LOSS,3,16,HOME
1968-12-15,1968,1,0,,Chicago Bears,WIN,28,27,AWAY
1969-09-21,1969,1,0,,Chicago Bears,WIN,17,0,HOME
1969-09-28,1969,1,0,,San Francisco 49ers,WIN,14,7,HOME
1969-10-05,1969,1,0,,Minnesota Vikings,LOSS,7,19,AWAY
1969-10-12,1969,1,0,,Detroit Lions,WIN,28,17,AWAY
1969-10-19,1969,1,0,,Los Angeles Rams,LOSS,21,34,AWAY
1969-10-26,1969,1,0,,Atlanta Falcons,WIN,28,10,HOME
1969-11-02,1969,1,0,,Pittsburgh Steelers,WIN,38,34,AWAY
1969-11-09,1969,1,0,,Indianapolis Colts,LOSS,6,14,AWAY
1969-11-16,1969,1,0,,Minnesota Vikings,LOSS,7,9,HOME
1969-11-23,1969,1,0,,Detroit Lions,LOSS,10,16,HOME
1969-11-30,1969,1,0,,New York Giants,WIN,20,10,HOME
1969-12-07,1969,1,0,,Cleveland Browns,LOSS,7,20,AWAY
1969-12-14,1969,1,0,,Chicago Bears,WIN,21,3,AWAY
1969-12-21,1969,1,0,,Arizona Cardinals,WIN,45,28,HOME
1970-09-20,1970,1,0,,Detroit Lions,LOSS,0,40,HOME
1970-09-27,1970,1,0,,Atlanta Falcons,WIN,27,24,HOME
1970-10-04,1970,1,0,,Minnesota Vikings,WIN,13,10,HOME
1970-10-12,1970,1,0,,Los Angeles Chargers,WIN,22,20,AWAY
1970-10-18,1970,1,0,,Los Angeles Rams,LOSS,21,31,HOME
1970-10-25,1970,1,0,,Philadelphia Eagles,WIN,30,17,HOME
1970-11-01,1970,1,0,,San Francisco 49ers,LOSS,10,26,AWAY
1970-11-09,1970,1,0,,Indianapolis Colts,LOSS,10,13,HOME
1970-11-15,1970,1,0,,Chicago Bears,WIN,20,19,HOME
1970-11-22,1970,1,0,,Minnesota Vikings,LOSS,3,10,AWAY
1970-11-26,1970,1,0,,Dallas Cowboys,LOSS,3,16,AWAY
1970-12-06,1970,1,0,,Pittsburgh Steelers,WIN,20,12,AWAY
1970-12-13,1970,1,0,,Chicago Bears,LOSS,17,35,AWAY
1970-12-20,1970,1,0,,Detroit Lions,LOSS,0,20,AWAY
1971-09-19,1971,1,0,,New York Giants,LOSS,40,42,HOME
1971-09-26,1971,1,0,,Denver Broncos,WIN,34,13,HOME
1971-10-03,1971,1,0,,Cincinnati Bengals,WIN,20,17,HOME
1971-10-10,1971,1,0,,Detroit Lions,LOSS,28,31,AWAY
1971-10-17,1971,1,0,,Minnesota Vikings,LOSS,13,24,HOME
1971-10-24,1971,1,0,,Los Angeles Rams,LOSS,13,30,AWAY
1971-11-01,1971,1,0,,Detroit Lions,TIE,14,14,HOME
1971-11-07,1971,1,0,,Chicago Bears,WIN,17,14,AWAY
1971-11-14,1971,1,0,,Minnesota Vikings,LOSS,0,3,AWAY
1971-11-22,1971,1,0,,Atlanta Falcons,LOSS,21,28,AWAY
1971-11-28,1971,1,0,,New Orleans Saints,LOSS,21,29,HOME
1971-12-05,1971,1,0,,Arizona Cardinals,TIE,16,16,AWAY
1971-12-12,1971,1,0,,Chicago Bears,WIN,31,10,HOME
1971-12-19,1971,1,0,,Miami Dolphins,LOSS,6,27,AWAY
1972-09-17,1972,1,0,,Cleveland Browns,WIN,26,10,AWAY
1972-09-24,1972,1,0,,Oakland Raiders,LOSS,14,20,HOME
1972-10-01,1972,1,0,,Dallas Cowboys,WIN,16,13,HOME
1972-10-08,1972,1,0,,Chicago Bears,WIN,20,17,HOME
1972-10-16,1972,1,0,,Detroit Lions,WIN,24,23,AWAY
1972-10-22,1972,1,0,,Atlanta Falcons,LOSS,9,10,HOME
1972-10-29,1972,1,0,,Minnesota Vikings,LOSS,13,27,HOME
1972-11-05,1972,1,0,,San Francisco 49ers,WIN,34,24,HOME
1972-11-12,1972,1,0,,Chicago Bears,WIN,23,17,AWAY
1972-11-19,1972,1,0,,Tennessee Titans,WIN,23,10,AWAY
1972-11-26,1972,1,0,,Washington Commanders,LOSS,16,21,AWAY
1972-12-03,1972,1,0,,Detroit Lions,WIN,33,7,HOME
1972-12-10,1972,1,0,,Minnesota Vikings,WIN,23,7,AWAY
1972-12-17,1972,1,0,,New Orleans Saints,WIN,30,20,AWAY
1972-12-24,1972,0,1,,Washington Commanders,LOSS,3,16,AWAY
1973-09-17,1973,1,0,,New York Jets,WIN,23,7,HOME
1973-09-23,1973,1,0,,Detroit Lions,TIE,13,13,HOME
1973-09-30,1973,1,0,,Minnesota Vikings,LOSS,3,11,AWAY
1973-10-07,1973,1,0,,New York Giants,WIN,16,14,AWAY
1973-10-14,1973,1,0,,Kansas City Chiefs,TIE,10,10,HOME
1973-10-21,1973,1,0,,Los Angeles Rams,LOSS,7,24,AWAY
1973-10-28,1973,1,0,,Detroit Lions,LOSS,0,34,AWAY
1973-11-04,1973,1,0,,Chicago Bears,LOSS,17,31,HOME
1973-11-11,1973,1,0,,Arizona Cardinals,WIN,25,21,HOME
1973-11-18,1973,1,0,,New England Patriots,LOSS,24,33,AWAY
1973-11-26,1973,1,0,,San Francisco 49ers,LOSS,6,20,AWAY
1973-12-02,1973,1,0,,New Orleans Saints,WIN,30,10,HOME
1973-12-08,1973,1,0,,Minnesota Vikings,LOSS,7,31,HOME
1973-12-16,1973,1,0,,Chicago Bears,WIN,21,0,AWAY
1974-09-15,1974,1,0,,Minnesota Vikings,LOSS,17,32,HOME
1974-09-22,1974,1,0,,Indianapolis Colts,WIN,20,13,AWAY
1974-09-29,1974,1,0,,Detroit Lions,WIN,21,19,HOME
1974-10-06,1974,1,0,,Buffalo Bills,LOSS,7,27,HOME
1974-10-13,1974,1,0,,Los Angeles Rams,WIN,17,6,HOME
1974-10-21,1974,1,0,,Chicago Bears,LOSS,9,10,AWAY
1974-10-27,1974,1,0,,Detroit Lions,LOSS,17,19,AWAY
1974-11-03,1974,1,0,,Washington Commanders,LOSS,6,17,HOME
1974-11-10,1974,1,0,,Chicago Bears,WIN,20,3,HOME
1974-11-17,1974,1,0,,Minnesota Vikings,WIN,19,7,AWAY
1974-11-24,1974,1,0,,Los Angeles Chargers,WIN,34,0,HOME
1974-12-01,1974,1,0,,Philadelphia Eagles,LOSS,14,36,AWAY
1974-12-08,1974,1,0,,San Francisco 49ers,LOSS,6,7,AWAY
1974-12-15,1974,1,0,,Atlanta Falcons,LOSS,3,10,AWAY
1975-09-21,1975,1,0,,Detroit Lions,LOSS,16,30,HOME
1975-09-29,1975,1,0,,Denver Broncos,LOSS,13,23,AWAY
1975-10-05,1975,1,0,,Miami Dolphins,LOSS,7,31,HOME
1975-10-12,1975,1,0,,New Orleans Saints,LOSS,19,20,AWAY
1975-10-19,1975,1,0,,Dallas Cowboys,WIN,19,17,AWAY
1975-10-26,1975,1,0,,Pittsburgh Steelers,LOSS,13,16,HOME
1975-11-02,1975,1,0,,Minnesota Vikings,LOSS,17,28,HOME
1975-11-09,1975,1,0,,Chicago Bears,LOSS,14,27,AWAY
1975-11-16,1975,1,0,,Detroit Lions,LOSS,10,13,AWAY
1975-11-23,1975,1,0,,New York Giants,WIN,40,14,HOME
1975-11-30,1975,1,0,,Chicago Bears,WIN,28,7,HOME
1975-12-07,1975,1,0,,Minnesota Vikings,LOSS,3,24,AWAY
1975-12-14,1975,1,0,,Los Angeles Rams,LOSS,5,22,AWAY
1975-12-21,1975,1,0,,Atlanta Falcons,WIN,22,13,HOME
1976-09-12,1976,1,0,,San Francisco 49ers,LOSS,14,26,HOME
1976-09-19,1976,1,0,,Arizona Cardinals,LOSS,0,29,AWAY
1976-09-26,1976,1,0,,Cincinnati Bengals,LOSS,7,28,AWAY
1976-10-03,1976,1,0,,Detroit Lions,WIN,24,14,HOME
1976-10-10,1976,1,0,,Seattle Seahawks,WIN,27,20,HOME
1976-10-17,1976,1,0,,Philadelphia Eagles,WIN,28,13,HOME
1976-10-24,1976,1,0,,Oakland Raiders,LOSS,14,18,AWAY
1976-10-31,1976,1,0,,Detroit Lions,LOSS,6,27,AWAY
1976-11-07,1976,1,0,,New Orleans Saints,WIN,32,27,HOME
1976-11-14,1976,1,0,,Chicago Bears,LOSS,13,24,AWAY
1976-11-21,1976,1,0,,Minnesota Vikings,LOSS,10,17,HOME
1976-11-28,1976,1,0,,Chicago Bears,LOSS,10,16,HOME
1976-12-05,1976,1,0,,Minnesota Vikings,LOSS,9,20,AWAY
1976-12-12,1976,1,0,,Atlanta Falcons,WIN,24,20,AWAY
1977-09-18,1977,1,0,,New Orleans Saints,WIN,24,20,AWAY
1977-09-25,1977,1,0,,Tennessee Titans,LOSS,10,16,HOME
1977-10-02,1977,1,0,,Minnesota Vikings,LOSS,7,19,AWAY
1977-10-09,1977,1,0,,Cincinnati Bengals,LOSS,7,17,HOME
1977-10-16,1977,1,0,,Detroit Lions,LOSS,6,10,AWAY
1977-10-23,1977,1,0,,Tampa Bay Buccaneers,WIN,13,0,AWAY
1977-10-30,1977,1,0,,Chicago Bears,LOSS,0,26,HOME
1977-11-06,1977,1,0,,Kansas City Chiefs,LOSS,10,20,AWAY
1977-11-13,1977,1,0,,Los Angeles Rams,LOSS,6,24,HOME
1977-11-21,1977,1,0,,Washington Commanders,LOSS,9,10,AWAY
1977-11-27,1977,1,0,,Minnesota Vikings,LOSS,6,13,HOME
1977-12-04,1977,1,0,,Detroit Lions,WIN,10,9,HOME
1977-12-11,1977,1,0,,Chicago Bears,LOSS,10,21,AWAY
1977-12-18,1977,1,0,,San Francisco 49ers,WIN,16,14,HOME
1978-09-03,1978,1,0,,Detroit Lions,WIN,13,7,AWAY
1978-09-10,1978,1,0,,New Orleans Saints,WIN,28,17,HOME
1978-09-17,1978,1,0,,Oakland Raiders,LOSS,3,28,HOME
1978-09-24,1978,1,0,,Los Angeles Chargers,WIN,24,3,AWAY
1978-10-01,1978,1,0,,Detroit Lions,WIN,35,14,HOME
1978-10-08,1978,1,0,,Chicago Bears,WIN,24,14,HOME
1978-10-15,1978,1,0,,Seattle Seahawks,WIN,45,28,HOME
1978-10-22,1978,1,0,,Minnesota Vikings,LOSS,7,21,AWAY
1978-10-29,1978,1,0,,Tampa Bay Buccaneers,WIN,9,7,HOME
1978-11-05,1978,1,0,,Philadelphia Eagles,LOSS,3,10,AWAY
1978-11-12,1978,1,0,,Dallas Cowboys,LOSS,14,42,HOME
1978-11-19,1978,1,0,,Denver Broncos,LOSS,3,16,AWAY
1978-11-26,1978,1,0,,Minnesota Vikings,TIE,10,10,HOME
1978-12-03,1978,1,0,,Tampa Bay Buccaneers,WIN,17,7,AWAY
1978-12-10,1978,1,0,,Chicago Bears,LOSS,0,14,AWAY
1978-12-17,1978,1,0,,Los Angeles Rams,LOSS,14,31,AWAY
1979-09-02,1979,1,0,,Chicago Bears,LOSS,3,6,AWAY
1979-09-09,1979,1,0,,New Orleans Saints,WIN,28,19,HOME
1979-09-16,1979,1,0,,Tampa Bay Buccaneers,LOSS,10,21,HOME
1979-09-23,1979,1,0,,Minnesota Vikings,LOSS,21,27,AWAY
1979-10-01,1979,1,0,,New England Patriots,WIN,27,14,HOME
1979-10-07,1979,1,0,,Atlanta Falcons,LOSS,7,25,AWAY
1979-10-14,1979,1,0,,Detroit Lions,WIN,24,16,HOME
1979-10-21,1979,1,0,,Tampa Bay Buccaneers,LOSS,3,21,AWAY
1979-10-28,1979,1,0,,Miami Dolphins,LOSS,7,27,AWAY
1979-11-04,1979,1,0,,New York Jets,LOSS,22,27,HOME
1979-11-11,1979,1,0,,Minnesota Vikings,WIN,19,7,HOME
1979-11-18,1979,1,0,,Buffalo Bills,LOSS,12,19,AWAY
1979-11-25,1979,1,0,,Philadelphia Eagles,LOSS,10,21,HOME
